timestep reward
2000 -8.30
6000 -0.44
10000 4.74
14000 7.02
18000 7.63
22000 8.69
26000 9.67
30000 9.71
34000 9.86
38000 9.88
42000 9.92
46000 10.18
50000 10.04
54000 10.34
58000 10.30
62000 10.30
66000 10.47
70000 10.54
74000 10.51
78000 10.48
82000 10.51
86000 10.54
90000 10.53
94000 10.57
98000 10.59
102000 10.61
106000 10.65
110000 10.64
114000 10.69
118000 10.66
122000 10.68
126000 10.73
130000 10.75
134000 10.74
138000 10.76
142000 10.77
146000 10.80
150000 10.80
154000 10.82
158000 10.82
162000 10.84
166000 10.83
170000 10.86
174000 10.86
178000 10.86
182000 10.86
186000 10.86
190000 10.86
194000 10.86
198000 10.87
202000 10.88
